"","Year","Agrobio","n","Agrobio_relative"
"1",1995,NA,19,NA
"2",1996,1,28,3.57142857142857
"3",1997,5,23,21.7391304347826
"4",1998,1,13,7.69230769230769
"5",1999,4,26,15.3846153846154
"6",2000,3,76,3.94736842105263
"7",2001,21,138,15.2173913043478
"8",2002,7,63,11.1111111111111
"9",2003,28,124,22.5806451612903
"10",2004,18,171,10.5263157894737
"11",2005,15,305,4.91803278688525
"12",2006,26,248,10.4838709677419
"13",2007,24,236,10.1694915254237
"14",2008,22,308,7.14285714285714
"15",2009,48,395,12.1518987341772
"16",2010,32,329,9.72644376899696
"17",2011,38,353,10.7648725212465
"18",2012,56,524,10.6870229007634
"19",2013,37,424,8.72641509433962
"20",2014,64,672,9.52380952380952
"21",2015,71,1041,6.82036503362152
"22",2016,112,993,11.2789526686808
"23",2017,77,1113,6.91823899371069
"24",2018,100,1383,7.23065798987708
"25",2019,165,2158,7.64596848934198
