"","Year","Agriculture","Soil","Water","Ecosystem","n","Ag_relative","Soil_relative","Water_relative","Eco_relative"
"1",1995,2,NA,NA,NA,19,10.5263157894737,NA,NA,NA
"2",1996,NA,NA,NA,2,28,NA,NA,NA,7.14285714285714
"3",1997,5,NA,NA,NA,23,21.7391304347826,NA,NA,NA
"4",1998,1,NA,NA,NA,13,7.69230769230769,NA,NA,NA
"5",1999,4,NA,NA,NA,26,15.3846153846154,NA,NA,NA
"6",2000,6,7,NA,2,76,7.89473684210526,9.21052631578947,NA,2.63157894736842
"7",2001,6,7,2,7,138,4.34782608695652,5.07246376811594,1.44927536231884,5.07246376811594
"8",2002,8,NA,NA,1,63,12.6984126984127,NA,NA,1.58730158730159
"9",2003,5,1,NA,NA,124,4.03225806451613,0.806451612903226,NA,NA
"10",2004,2,14,4,2,171,1.16959064327485,8.18713450292398,2.33918128654971,1.16959064327485
"11",2005,9,NA,1,NA,305,2.95081967213115,NA,0.327868852459016,NA
"12",2006,21,9,NA,3,248,8.46774193548387,3.62903225806452,NA,1.20967741935484
"13",2007,10,1,5,3,236,4.23728813559322,0.423728813559322,2.11864406779661,1.27118644067797
"14",2008,15,10,4,9,308,4.87012987012987,3.24675324675325,1.2987012987013,2.92207792207792
"15",2009,17,6,NA,6,395,4.30379746835443,1.51898734177215,NA,1.51898734177215
"16",2010,14,8,1,7,329,4.25531914893617,2.43161094224924,0.303951367781155,2.12765957446809
"17",2011,19,2,2,14,353,5.38243626062323,0.56657223796034,0.56657223796034,3.96600566572238
"18",2012,22,8,4,15,524,4.19847328244275,1.52671755725191,0.763358778625954,2.86259541984733
"19",2013,20,20,5,12,424,4.71698113207547,4.71698113207547,1.17924528301887,2.83018867924528
"20",2014,32,9,15,15,672,4.76190476190476,1.33928571428571,2.23214285714286,2.23214285714286
"21",2015,44,26,8,26,1041,4.22670509125841,2.49759846301633,0.768491834774256,2.49759846301633
"22",2016,43,15,NA,31,993,4.33031218529708,1.51057401812689,NA,3.12185297079557
"23",2017,44,11,4,21,1113,3.95327942497754,0.988319856244385,0.359389038634322,1.88679245283019
"24",2018,68,30,8,28,1383,4.91684743311641,2.16919739696312,0.578452639190166,2.02458423716558
"25",2019,72,53,14,53,2158,3.33642261353105,2.45597775718258,0.648748841519926,2.45597775718258
"26",2020,NA,NA,NA,NA,964,NA,NA,NA,NA
