"","Year","Drivers","n","Drivers_relative"
"1",1995,0,19,0
"2",1996,4,28,14.2857142857143
"3",1997,2,23,8.69565217391304
"4",1998,0,13,0
"5",1999,1,26,3.84615384615385
"6",2000,5,76,6.57894736842105
"7",2001,2,138,1.44927536231884
"8",2002,0,63,0
"9",2003,0,124,0
"10",2004,10,171,5.84795321637427
"11",2005,2,305,0.655737704918033
"12",2006,8,248,3.2258064516129
"13",2007,4,236,1.69491525423729
"14",2008,3,308,0.974025974025974
"15",2009,10,395,2.53164556962025
"16",2010,4,329,1.21580547112462
"17",2011,7,353,1.98300283286119
"18",2012,20,524,3.81679389312977
"19",2013,6,424,1.41509433962264
"20",2014,16,672,2.38095238095238
"21",2015,35,1041,3.36215177713737
"22",2016,42,993,4.22960725075529
"23",2017,33,1113,2.96495956873315
"24",2018,42,1383,3.03687635574837
"25",2019,54,2158,2.50231696014829
