"","Year","Genetic","n.x","Gen_relative","Agronomic","n.y","Agr_relative"
"1",1995,NA,19,NA,1,19,5.26315789473684
"2",1996,NA,28,NA,3,28,10.7142857142857
"3",1997,NA,23,NA,2,23,8.69565217391304
"4",1998,6,13,46.1538461538462,2,13,15.3846153846154
"5",1999,1,26,3.84615384615385,1,26,3.84615384615385
"6",2000,2,76,2.63157894736842,5,76,6.57894736842105
"7",2001,1,138,0.72463768115942,9,138,6.52173913043478
"8",2002,NA,63,NA,7,63,11.1111111111111
"9",2003,2,124,1.61290322580645,14,124,11.2903225806452
"10",2004,4,171,2.33918128654971,9,171,5.26315789473684
"11",2005,7,305,2.29508196721311,12,305,3.9344262295082
"12",2006,6,248,2.41935483870968,14,248,5.64516129032258
"13",2007,5,236,2.11864406779661,22,236,9.32203389830508
"14",2008,1,308,0.324675324675325,30,308,9.74025974025974
"15",2009,10,395,2.53164556962025,44,395,11.1392405063291
"16",2010,15,329,4.55927051671733,28,329,8.51063829787234
"17",2011,12,353,3.39943342776204,29,353,8.21529745042493
"18",2012,6,524,1.14503816793893,42,524,8.01526717557252
"19",2013,8,424,1.88679245283019,24,424,5.66037735849057
"20",2014,33,672,4.91071428571429,50,672,7.44047619047619
"21",2015,33,1041,3.1700288184438,72,1041,6.9164265129683
"22",2016,49,993,4.93454179254783,63,993,6.34441087613293
"23",2017,34,1113,3.05480682839173,59,1113,5.30098831985624
"24",2018,43,1383,3.10918293564714,85,1383,6.14605929139552
"25",2019,71,2158,3.29008341056534,129,2158,5.97775718257646
"26",2020,NA,964,NA,NA,964,NA
