"","aff","n"
"1","(IFPRI)",1
"2","650205",1
"3","Afghanistan",2
"4","Africa",5
"5","Arabia",3
"6","Argentina",3
"7","Assam",1
"8","Australia",74
"9","Austria",1
"10","Azerbaijan",2
"11","Bangladesh",56
"12","Belgium",7
"13","Benin",1
"14","Bhutan",18
"15","Bolivia",1
"16","Brazil",9
"17","Cambodia",2
"18","Canada",41
"19","China",654
"20","Colombia",6
"21","Denmark",8
"22","Egypt",1
"23","Emirates",1
"24","Ethiopia",6
"25","FAO",1
"26","Faso",1
"27","Federation",3
"28","Fiji",1
"29","Finland",3
"30","France",29
"31","Georgia",4
"32","Germany",42
"33","Greece",3
"34","India",666
"35","Indonesia",5
"36","International",1
"37","Iran",1
"38","Ireland",4
"39","Italy",40
"40","Japan",20
"41","Jordan",1
"42","Kenya",13
"43","Kingdom",104
"44","Kong",6
"45","Korea",9
"46","Kyrgyzstan",1
"47","Lanka",3
"48","Laos",1
"49","Malaysia",18
"50","Mexico",7
"51","Morocco",1
"52","Mozambique",1
"53","Myanmar",7
"54","Nam",9
"55","Nepal",128
"56","Netherlands",38
"57","Nicaragua",1
"58","Nigeria",2
"59","Norway",12
"60","Oman",3
"61","Pakistan",102
"62","Peru",3
"63","Philippines",8
"64","Poland",3
"65","Portugal",1
"66","Qatar",2
"67","Republic",1
"68","Romania",1
"69","Senegal",2
"70","Singapore",9
"71","Slovenia",1
"72","Spain",19
"73","States",184
"74","Sweden",10
"75","Switzerland",14
"76","Taiwan",9
"77","Tajikistan",1
"78","Thailand",22
"79","Tunisia",2
"80","Turkey",4
"81","Zambia",3
"82","Zealand",2
