"","Combine","Year","n","Pillar","pillar"
"1","profitability",2003,2,"Application","App"
"2","agriculturaldevelopment",2006,2,"Application","App"
"3","agriculturalproduction",2006,2,"Application","App"
"4","benefitcostratio",2008,2,"Application","App"
"5","cashcrops",2009,2,"Application","App"
"6","poverty",2009,2,"Application","App"
"7","profitability",2009,2,"Application","App"
"8","agriculturaleconomics",2010,2,"Application","App"
"9","foodsecurity",2010,2,"Application","App"
"10","livelihoodvulnerability",2010,2,"Application","App"
"11","profitability",2010,2,"Application","App"
"12","economics",2011,3,"Application","App"
"13","agriculturalproduction",2011,2,"Application","App"
"14","foodsecurity",2011,2,"Application","App"
"15","adaptation",2012,2,"Application","App"
"16","economics",2012,2,"Application","App"
"17","foodsecurity",2012,2,"Application","App"
"18","ruraldevelopment",2012,2,"Application","App"
"19","tourism",2012,2,"Application","App"
"20","foodsecurity",2013,3,"Application","App"
"21","livelihood",2013,2,"Application","App"
"22","foodsecurity",2014,5,"Application","App"
"23","agribusiness",2014,4,"Application","App"
"24","agriculturaldevelopment",2014,2,"Application","App"
"25","agriculturaleconomics",2014,2,"Application","App"
"26","agriculturalproduction",2014,2,"Application","App"
"27","agroindustry",2014,2,"Application","App"
"28","eco-agriculturaltourism",2014,2,"Application","App"
"29","ecologicalfootprint",2014,2,"Application","App"
"30","economics",2014,2,"Application","App"
"31","health",2014,2,"Application","App"
"32","foodsecurity",2015,12,"Application","App"
"33","adaptation",2015,4,"Application","App"
"34","agribusiness",2015,2,"Application","App"
"35","agriculturaleconomics",2015,2,"Application","App"
"36","economicdevelopment",2015,2,"Application","App"
"37","economics",2015,2,"Application","App"
"38","foodpolicy",2015,2,"Application","App"
"39","foodsupply",2015,2,"Application","App"
"40","povertyalleviation",2015,2,"Application","App"
"41","ruraldevelopment",2015,2,"Application","App"
"42","foodsecurity",2016,14,"Application","App"
"43","agribusiness",2016,5,"Application","App"
"44","foodproduction",2016,3,"Application","App"
"45","livelihood",2016,3,"Application","App"
"46","agriculturalproduction",2016,2,"Application","App"
"47","agroindustry",2016,2,"Application","App"
"48","economics",2016,2,"Application","App"
"49","foodsupply",2016,2,"Application","App"
"50","poverty",2016,2,"Application","App"
"51","resilience",2016,2,"Application","App"
"52","smallholder",2016,2,"Application","App"
"53","vulnerability",2016,2,"Application","App"
"54","foodsecurity",2017,13,"Application","App"
"55","foodsupply",2017,7,"Application","App"
"56","agriculturalproduction",2017,5,"Application","App"
"57","agroindustry",2017,4,"Application","App"
"58","livelihood",2017,4,"Application","App"
"59","economics",2017,3,"Application","App"
"60","smallholder",2017,3,"Application","App"
"61","agribusiness",2017,2,"Application","App"
"62","agriculturaldevelopment",2017,2,"Application","App"
"63","certification",2017,2,"Application","App"
"64","commerce",2017,2,"Application","App"
"65","diet",2017,2,"Application","App"
"66","economicdevelopment",2017,2,"Application","App"
"67","income",2017,2,"Application","App"
"68","foodsecurity",2018,13,"Application","App"
"69","economicdevelopment",2018,5,"Application","App"
"70","economics",2018,5,"Application","App"
"71","foodsupply",2018,4,"Application","App"
"72","smallholder",2018,4,"Application","App"
"73","agriculturaldevelopment",2018,3,"Application","App"
"74","agriculturalproduction",2018,3,"Application","App"
"75","foodavailability",2018,3,"Application","App"
"76","livelihood",2018,3,"Application","App"
"77","agritourism",2018,2,"Application","App"
"78","commercialization",2018,2,"Application","App"
"79","ecotourism",2018,2,"Application","App"
"80","foodproduction",2018,2,"Application","App"
"81","foodsecurity",2019,10,"Application","App"
"82","agriculturalproduction",2019,8,"Application","App"
"83","adaptation",2019,7,"Application","App"
"84","agriculturaldevelopment",2019,6,"Application","App"
"85","agritourism",2019,4,"Application","App"
"86","foodproduction",2019,4,"Application","App"
"87","foodsupply",2019,4,"Application","App"
"88","nutritionalvalue",2019,4,"Application","App"
"89","vulnerability",2019,4,"Application","App"
"90","agribusiness",2019,3,"Application","App"
"91","agroindustry",2019,3,"Application","App"
"92","economicdevelopment",2019,3,"Application","App"
"93","nutrientdynamics",2019,3,"Application","App"
"94","smallholder",2019,3,"Application","App"
"95","supplychainmanagement",2019,3,"Application","App"
"96","agriculturalmarket",2019,2,"Application","App"
"97","diet",2019,2,"Application","App"
"98","dietarydiversity",2019,2,"Application","App"
"99","foodconsumption",2019,2,"Application","App"
"100","foodindustry",2019,2,"Application","App"
"101","foodpolicy",2019,2,"Application","App"
"102","foodsafety",2019,2,"Application","App"
"103","householdincome",2019,2,"Application","App"
"104","livelihood",2019,2,"Application","App"
"105","market",2019,2,"Application","App"
"106","marketing",2019,2,"Application","App"
"107","resilience",2019,2,"Application","App"
"108","tourism",2019,2,"Application","App"
"109","foodsecurity",2020,10,"Application","App"
"110","agriculturaldevelopment",2020,6,"Application","App"
"111","adaptation",2020,4,"Application","App"
"112","foodsupply",2020,4,"Application","App"
"113","ruraldevelopment",2020,4,"Application","App"
"114","agriculturalproduction",2020,3,"Application","App"
"115","certification",2020,2,"Application","App"
"116","economicdevelopment",2020,2,"Application","App"
"117","foodsafety",2020,2,"Application","App"
"118","livelihood",2020,2,"Application","App"
